PeakID (cmd=annotatePeaks.pl Homer_mMET.txt mm8)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Peak8032	chr5	8666030	8666684	+	0	NA	intron (NM_011076, intron 1 of 27)	CpG	259	NM_011076	18671	Mm.207354	NM_011076	ENSMUSG00000040584	Abcb1a	Abcb4|Evi32|Mdr1a|Mdr3|P-gp|Pgp|Pgy-3|Pgy3|mdr-3	ATP-binding cassette, sub-family B (MDR/TAP), member 1A	protein-coding
Peak8672	chr5	140670557	140673133	+	0	NA	promoter-TSS (NM_133916)	promoter-TSS (NM_133916)	66	NM_133916	27979	Mm.21671	NM_133916	ENSMUSG00000056076	Eif3b	AL033316|AL033334|AL033369|AW208965|D5Wsu45e|EIF3-ETA|EIF3-P110|EIF3-P116|Eif3s9|PRT1	eukaryotic translation initiation factor 3, subunit B	protein-coding
Peak4633	chr17	27904299	27905610	+	0	NA	promoter-TSS (NM_172617)	promoter-TSS (NM_172617)	-53	NM_172617	224656	Mm.267359	NM_172617	ENSMUSG00000024220	Zfp523	2810027J07|BC025615|Znf76	zinc finger protein 523	protein-coding
Peak3434	chr14	64922682	64926095	+	0	NA	intron (NM_013492, intron 1 of 8)	intron (NM_013492, intron 1 of 8)	1795	NM_013492	12759	Mm.200608	NM_013492	ENSMUSG00000022037	Clu	AI893575|ApoJ|Cli|D14Ucla3|SP-40|Sgp-2|Sgp2|Sugp-2	clusterin	protein-coding
Peak9719	chr7	46713176	46715501	+	0	NA	promoter-TSS (NM_001136069)	promoter-TSS (NM_001136069)	492	NR_102727	16828	Mm.29324	NM_010699	ENSMUSG00000063229	Ldha	Ldh1|Ldhm|l7R2	lactate dehydrogenase A	protein-coding
Peak1452	chr11	50017754	50019148	+	0	NA	intron (NM_026543, intron 1 of 6)	intron (NM_026543, intron 1 of 6)	177	NM_026543	68067	Mm.40828	NM_026543	ENSMUSG00000020381	3010026O09Rik	2900016G09Rik|AI851514|AW475975	RIKEN cDNA 3010026O09 gene	protein-coding
Peak7217	chr3	152415253	152416757	+	0	NA	intron (NM_001081277, intron 11 of 13)	intron (NM_001081277, intron 11 of 13)	81935	NM_001287139	108946	Mm.379292	NM_198416	ENSMUSG00000039068	Zzz3	3110065C23Rik|6430567E01Rik|AA408566|AI481057|AW556059|R75514	zinc finger, ZZ domain containing 3	protein-coding
Peak5638	chr19	41948759	41949987	+	0	NA	promoter-TSS (NM_199447)	promoter-TSS (NM_199447)	91	NM_199447	107094	Mm.276044	NM_199447	ENSMUSG00000035049	Rrp12	AA408556|AA536972|mKIAA0690	ribosomal RNA processing 12 homolog (S. cerevisiae)	protein-coding
Peak5652	chr19	43573768	43578658	+	0	NA	intron (NM_010324, intron 1 of 8)	(CAGA)n|Simple_repeat|Simple_repeat	1703	NM_010324	14718	Mm.19039	NM_010324	ENSMUSG00000025190	Got1	AI789014|Got-1|cAspAT|cCAT	glutamic-oxaloacetic transaminase 1, soluble	protein-coding
Peak4870	chr17	55598094	55599414	+	0	NA	exon (NM_145934, exon 1 of 13)	exon (NM_145934, exon 1 of 13)	145	NM_145934	106766	Mm.204991	NM_145934	ENSMUSG00000038781	Stap2	AW049765|STAP-2	signal transducing adaptor family member 2	protein-coding
Peak10223	chr8	4676567	4678928	+	0	NA	Intergenic	CpG	64577	NM_145591	233987	Mm.102799	NM_145591		Zfp958	-	zinc finger protein 958	protein-coding
Peak219	chr1	75007630	75009011	+	0	NA	TTS (NM_194333)	TTS (NM_194333)	114	NM_029342	75570	Mm.442409	NM_029342		Nhej1	1700029B21Rik|XLF|cernunnos	nonhomologous end-joining factor 1	protein-coding
Peak9543	chr7	28084060	28088738	+	0	NA	exon (NM_011756, exon 2 of 2)	exon (NM_011756, exon 2 of 2)	1589	NM_011756	22695	Mm.389856	NM_011756	ENSMUSG00000044786	Zfp36	Gos24|Nup475|TIS11D|TISII|Tis11|Ttp|Zfp-36	zinc finger protein 36	protein-coding
Peak3779	chr15	78293461	78298176	+	0	NA	promoter-TSS (NM_027902)	promoter-TSS (NM_027902)	71	NM_027902	71753	Mm.34056	NM_027902	ENSMUSG00000016942	Tmprss6	1300008A22Rik	transmembrane serine protease 6	protein-coding
Peak9693	chr7	45325105	45330029	+	0	NA	intron (NM_010240, intron 1 of 3)	intron (NM_010240, intron 1 of 3)	361	NM_010240	14325	Mm.30357	NM_010240	ENSMUSG00000050708	Ftl1	Ftl|Ftl-1|L-ferritin	ferritin light polypeptide 1	protein-coding
Peak3494	chr14	77269913	77271638	+	0	NA	intron (NM_001164503, intron 1 of 11)	CpG	240	NM_001164503	219181	Mm.89413	NM_001164503	ENSMUSG00000022016	Akap11	6330501D17Rik|AKAP220|Gm80|PRKA11|mKIAA0629	A kinase (PRKA) anchor protein 11	protein-coding
Peak2090	chr11	108158868	108160640	+	0	NA	exon (NM_011101, exon 1 of 17)	exon (NM_011101, exon 1 of 17)	224	NM_011101	18750	Mm.222178	NM_011101	ENSMUSG00000050965	Prkca	AI875142|Pkca	protein kinase C, alpha	protein-coding
Peak8089	chr5	28362686	28365695	+	0	NA	Intergenic	RMER13B|LTR|ERVK	-38009	NM_153526	231070	Mm.30221	NM_153526	ENSMUSG00000045294	Insig1	1810013C12Rik|Insig-1	insulin induced gene 1	protein-coding
Peak10153	chr7	140946038	140946544	+	0	NA	5' UTR (NM_023059, exon 2 of 10)	5' UTR (NM_023059, exon 2 of 10)	5575	NM_023059	24058	Mm.38017	NM_023059	ENSMUSG00000025494	Sigirr	AI256711|TIR8	single immunoglobulin and toll-interleukin 1 receptor (TIR) domain	protein-coding
Peak5692	chr19	46401706	46403023	+	0	NA	promoter-TSS (NR_040418)	promoter-TSS (NR_040418)	-65	NR_040418	75579	Mm.436708	NR_040418		2310034G01Rik	-	RIKEN cDNA 2310034G01 gene	ncRNA
Peak5165	chr18	36919569	36920799	+	0	NA	intron (NM_025594, intron 1 of 5)	intron (NM_025594, intron 1 of 5)	287	NM_025594	66492	Mm.251155	NM_025594	ENSMUSG00000001383	Zmat2	2610510D14Rik|2900082I05Rik	zinc finger, matrin type 2	protein-coding
Peak1428	chr11	45695030	45696810	+	0	NA	intron (NM_001045520, intron 1 of 11)	CpG	533	NM_001045520	216705	Mm.169673	NM_001045520	ENSMUSG00000006169	Clint1	AI642036|AW537616|C530049I24Rik|Enth|Epn4|F630206G17Rik|mKIAA0171	clathrin interactor 1	protein-coding
Peak10929	chr9	22138744	22140035	+	0	NA	exon (NM_028390, exon 1 of 24)	exon (NM_028390, exon 1 of 24)	219	NM_028390	68743	Mm.282751	NM_028390	ENSMUSG00000036777	Anln	1110037A17Rik|2900037I21Rik|C78101|Scraps	anillin, actin binding protein	protein-coding
Peak6788	chr3	57473978	57475720	+	0	NA	Intergenic	Intergenic	-38490	NM_145539	229302	Mm.26618	NM_145539	ENSMUSG00000027801	Tm4sf4	Iltmp	transmembrane 4 superfamily member 4	protein-coding
Peak5859	chr2	25943971	25945422	+	0	NA	intron (NM_026495, intron 1 of 5)	CpG	124	NM_026495	67991	Mm.131074	NM_026495	ENSMUSG00000026932	Nacc2	0610020I02Rik|AI448087|Btbd14a|C030048H19Rik	nucleus accumbens associated 2, BEN and BTB (POZ) domain containing	protein-coding
Peak8908	chr6	48373325	48375990	+	0	NA	promoter-TSS (NM_001085415)	promoter-TSS (NM_001085415)	19	NM_001085415	68910	Mm.2464	NM_020589	ENSMUSG00000068551	Zfp467	1190001I08Rik|AB041616|AI426952|AV017623|EZI|MNCb-3350|Znf467	zinc finger protein 467	protein-coding
Peak6021	chr2	51755837	51757538	+	0	NA	promoter-TSS (NM_001141982)	promoter-TSS (NM_001141982)	-34	NM_001141982	71684	Mm.28309	NM_030243	ENSMUSG00000036249	Rbm43	0610033I05Rik	RNA binding motif protein 43	protein-coding
Peak6585	chr2	167038118	167041154	+	0	NA	intron (NM_019835, intron 1 of 8)	intron (NM_019835, intron 1 of 8)	747	NM_019835	56336	Mm.200886	NM_019835	ENSMUSG00000017929	B4galt5	9430078I07Rik|AW049941|AW539721	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5	protein-coding
Peak7246	chr4	8838140	8839244	+	0	NA	Intergenic	CpG	221139	NM_001277149	320790	Mm.138792	NM_001033395	ENSMUSG00000041235	Chd7	A730019I05Rik|Cycn|Cyn|Dz|Edy|Flo|GENA 47|GENA 60|Gena 52|Lda|Mt|Obt|Todo|WBE1|Whi|metis	chromodomain helicase DNA binding protein 7	protein-coding
Peak4771	chr17	35487445	35488730	+	0	NA	exon (NM_026987, exon 1 of 20)	exon (NM_026987, exon 1 of 20)	256	NM_026987	69192	Mm.390986	NM_026987	ENSMUSG00000024422	Dhx16	2410006N22Rik|DBP2|Ddx16|mKIAA0577	DEAH (Asp-Glu-Ala-His) box polypeptide 16	protein-coding
Peak5299	chr18	75944490	75946680	+	0	NA	promoter-TSS (NM_145356)	promoter-TSS (NM_145356)	42	NM_145356	207259	Mm.159332	NM_145356	ENSMUSG00000044646	Zbtb7c	B230208J24Rik|Kr-pok|Zbtb36	zinc finger and BTB domain containing 7C	protein-coding
Peak18	chr1	10022256	10025824	+	0	NA	promoter-TSS (NM_013715)	promoter-TSS (NM_013715)	608	NM_026493	211660	Mm.244046	NM_026493	ENSMUSG00000056763	Cspp1	2310020J12Rik|4930413O22Rik|AA387550|BC055915|Cspp2|Cspp3	centrosome and spindle pole associated protein 1	protein-coding
Peak5350	chr19	4011873	4013338	+	0	NA	exon (NM_133666, exon 1 of 10)	exon (NM_133666, exon 1 of 10)	150	NM_133666	17995	Mm.29842	NM_133666	ENSMUSG00000037916	Ndufv1	CI-51kD	NADH dehydrogenase (ubiquinone) flavoprotein 1	protein-coding
Peak10358	chr8	47649959	47651822	+	0	NA	Intergenic	GC_rich|Low_complexity|Low_complexity	-17483	NM_025747	66756	Mm.133623	NM_025747	ENSMUSG00000031631	Cfap97	1110068E21Rik|4933411K20Rik|AW049273|Kiaa1430|mKIAA1430	cilia and flagella associated protein 97	protein-coding
Peak8001	chr4	154626894	154628656	+	0	NA	3' UTR (NM_001033394, exon 2 of 2)	3' UTR (NM_001033394, exon 2 of 2)	1899	NM_001033394	320587	Mm.384382	NM_001033394	ENSMUSG00000073680	Tmem88b	A230069A22Rik	transmembrane protein 88B	protein-coding
Peak10277	chr8	23940787	23943737	+	0	NA	promoter-TSS (NM_011394)	promoter-TSS (NM_011394)	17	NM_011394	20516	Mm.323901	NM_011394	ENSMUSG00000037656	Slc20a2	MolPit2|Pit-2|Pit2|Ram-1|Ram1	solute carrier family 20, member 2	protein-coding
Peak8951	chr6	56633527	56634474	+	0	NA	intron (NM_025520, intron 1 of 4)	CpG	277	NM_025520	66373	Mm.25642	NM_025520	ENSMUSG00000091625	Lsm5	2010208O10Rik|2310034K10Rik	LSM5 homolog, U6 small nuclear RNA associated (S. cerevisiae)	protein-coding
Peak4313	chr16	55744031	55747879	+	0	NA	intron (NM_001159395, intron 2 of 12)	intron (NM_001159395, intron 2 of 12)	1134	NM_001159394	80859	Mm.247272	NM_030612	ENSMUSG00000035356	Nfkbiz	AA408868|INAP|Mail	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, zeta	protein-coding
Peak2299	chr12	21236539	21237911	+	0	NA	Intergenic	CpG	-121021	NM_001004364	211914	Mm.358946	NM_001004364	ENSMUSG00000052632	Asap2	6530401G17Rik|Ddef2|Gm1523|Gm592|PAG3|PAP	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2	protein-coding
Peak9981	chr7	115822440	115825893	+	0	NA	intron (NM_001025559, intron 1 of 15)	intron (NM_001025559, intron 1 of 15)	-1970	NM_001025560	20679	Mm.323365	NM_011445	ENSMUSG00000051910	Sox6	AI987981|SOX-LZ	SRY (sex determining region Y)-box 6	protein-coding
Peak3868	chr15	84019347	84021067	+	0	NA	intron (NM_178614, intron 1 of 14)	CpG	208	NM_178614	68653	Mm.290725	NM_178614	ENSMUSG00000022437	Samm50	1110030L07Rik	sorting and assembly machinery component 50 homolog (S. cerevisiae)	protein-coding
Peak1596	chr11	62547489	62548267	+	0	NA	Intergenic	CpG	-2590	NM_133208	170740	Mm.339982	NM_133208	ENSMUSG00000005267	Zfp287	B230333C16Rik|SKAT-2|Skat2|Znf287|mszf16|mszf74	zinc finger protein 287	protein-coding
Peak2831	chr13	42061771	42064566	+	0	NA	intron (NM_007772, intron 1 of 8)	CpG	175	NM_007772	110521	Mm.4808	NM_007772	ENSMUSG00000021366	Hivep1	Cryabp1	human immunodeficiency virus type I enhancer binding protein 1	protein-coding
Peak8199	chr5	50345243	50347751	+	0	NA	intron (NM_133911, intron 1 of 18)	intron (NM_133911, intron 1 of 18)	747	NM_133911	70693	Mm.272974	NM_133911	ENSMUSG00000029090	Adgra3	3830613O22Rik|AU044632|Gpr125|Tem5-like	adhesion G protein-coupled receptor A3	protein-coding
Peak11406	chr9	110900348	110902482	+	0	NA	intron (NM_017466, intron 1 of 1)	intron (NM_017466, intron 1 of 1)	645	NM_001302377	54199	Mm.7336	NM_017466	ENSMUSG00000043953	Ccrl2	1810047I05Rik|Ackr5|CCR11|Cmkbr1l2|E01|L-CCR	chemokine (C-C motif) receptor-like 2	protein-coding
Peak7595	chr4	115641876	115642806	+	0	NA	exon (NM_026547, exon 1 of 2)	exon (NM_026547, exon 1 of 2)	207	NM_026547	68075	Mm.132803	NM_026547		Lurap1	1520402A15Rik|Lrp35a	leucine rich adaptor protein 1	protein-coding
Peak4584	chr17	25501352	25502313	+	0	NA	intron (NM_026238, intron 1 of 10)	intron (NM_026238, intron 1 of 10)	456	NM_026238	67563	Mm.24201	NM_026238	ENSMUSG00000002280	Narfl	9030612I22Rik|AI504405|PRN	nuclear prelamin A recognition factor-like	protein-coding
Peak5844	chr2	25186442	25187923	+	0	NA	intron (NM_001033293, intron 1 of 8)	intron (NM_001033293, intron 1 of 8)	453	NM_001033293	227620	Mm.33797	NM_001033293		Uap1l1	5730445F03Rik	UDP-N-acteylglucosamine pyrophosphorylase 1-like 1	protein-coding
Peak5303	chr18	77133811	77135873	+	0	NA	intron (NM_025409, intron 1 of 2)	intron (NM_025409, intron 1 of 2)	365	NM_025409	66191	Mm.28593	NM_025409	ENSMUSG00000090000	Ier3ip1	1110057H19Rik|AI644142|AL022842|AL022863|AV026606	immediate early response 3 interacting protein 1	protein-coding
Peak3825	chr15	81411921	81415348	+	0	NA	5' UTR (NM_177821, exon 1 of 31)	5' UTR (NM_177821, exon 1 of 31)	165	NM_177821	328572	Mm.258397	NM_177821	ENSMUSG00000055024	Ep300	A430090G16|A730011L11|KAT3B|p300|p300 HAT	E1A binding protein p300	protein-coding
Peak3123	chr13	112928095	112930924	+	0	NA	exon (NM_011945, exon 1 of 20)	exon (NM_011945, exon 1 of 20)	352	NM_011945	26401	Mm.15918	NM_011945	ENSMUSG00000021754	Map3k1	MAPKKK1|MEKK1|Mekk	mitogen-activated protein kinase kinase kinase 1	protein-coding
Peak6112	chr2	80380887	80382645	+	0	NA	exon (NM_016965, exon 1 of 31)	exon (NM_016965, exon 1 of 31)	255	NM_001290745	50884	Mm.25203	NM_016965	ENSMUSG00000027002	Nckap1	C79304|H19|Hem-2|Hem2|Nap1|mKIAA0587|mh19|p125Nap1	NCK-associated protein 1	protein-coding
Peak11025	chr9	46033563	46035094	+	0	NA	TTS (NM_011752)	TTS (NM_011752)	321	NM_146000	215051	Mm.32648	NM_146000	ENSMUSG00000032077	Bud13	AV305342|D030060M11Rik	BUD13 homolog (yeast)	protein-coding
Peak2847	chr13	47025244	47026112	+	0	NA	exon (NM_175340, exon 1 of 1)	exon (NM_175340, exon 1 of 1)	144	NM_175340	105193	Mm.25593	NM_175340	ENSMUSG00000044231	Nhlrc1	AI505271|B230309E09Rik|EPM2B	NHL repeat containing 1	protein-coding
Peak5902	chr2	29711016	29712882	+	0	NA	promoter-TSS (NM_013615)	promoter-TSS (NM_013615)	-123	NM_013615	18286	Mm.330116	NM_013615	ENSMUSG00000026790	Odf2	AI848335|MMTEST29	outer dense fiber of sperm tails 2	protein-coding
Peak10121	chr7	132768732	132771576	+	0	NA	Intergenic	CpG	-17811	NM_207302	360216	Mm.389984	NM_207302	ENSMUSG00000030967	Zranb1	9330160G10Rik|D7Wsu87e|Gm1956|Trabid	zinc finger, RAN-binding domain containing 1	protein-coding
Peak7742	chr4	129312970	129313914	+	0	NA	Intergenic	Intergenic	-9341	NM_008974	19244	Mm.193688	NM_008974	ENSMUSG00000028788	Ptp4a2	Prl-2	protein tyrosine phosphatase 4a2	protein-coding
Peak6307	chr2	122068659	122069987	+	0	NA	Intergenic	Intergenic	-8964	NM_001013829	435684	Mm.458215	NM_001013829	ENSMUSG00000033256	Shf	-	Src homology 2 domain containing F	protein-coding
Peak5724	chr19	55151913	55153450	+	0	NA	promoter-TSS (NM_008149)	promoter-TSS (NM_008149)	16	NM_008149	14732	Mm.210196	NM_008149	ENSMUSG00000024978	Gpam	GPAT|GPAT1	glycerol-3-phosphate acyltransferase, mitochondrial	protein-coding
Peak1474	chr11	51493425	51494932	+	0	NA	promoter-TSS (NR_027958)	promoter-TSS (NR_027958)	-199	NR_027958	97775	Mm.220299	NM_175289	ENSMUSG00000052563	D930048N14Rik	AI315703|R75254	RIKEN cDNA D930048N14 gene	ncRNA
Peak10932	chr9	22225853	22226962	+	0	NA	5' UTR (NM_178415, exon 1 of 23)	5' UTR (NM_178415, exon 1 of 23)	290	NM_178415	319845	Mm.176725	NM_178415	ENSMUSG00000035919	Bbs9	E130103I17Rik	Bardet-Biedl syndrome 9 (human)	protein-coding
Peak1524	chr11	57913278	57914442	+	0	NA	Intergenic	Intergenic	-6488	NM_026949	69125	Mm.28910	NM_026949	ENSMUSG00000020515	Cnot8	1500015I04Rik|1810022F04Rik|AA536816|AU015770|AU043059	CCR4-NOT transcription complex, subunit 8	protein-coding
Peak7816	chr4	133806254	133808079	+	0	NA	5' UTR (NM_001256112, exon 1 of 7)	5' UTR (NM_001256112, exon 1 of 7)	178	NM_001256112	76824	Mm.30153	NM_029759	ENSMUSG00000046671	Mtfr1l	2410166I05Rik|AI480750|Fam54b	mitochondrial fission regulator 1-like	protein-coding
Peak7716	chr4	128111480	128112845	+	0	NA	intron (NM_177758, intron 1 of 7)	(CA)n|Simple_repeat|Simple_repeat	240	NM_177758	269585	Mm.153291	NM_177758	ENSMUSG00000061894	Zscan20	C130001F22|Zfp31|Zkscan20	zinc finger and SCAN domains 20	protein-coding
Peak3413	chr14	62075802	62079143	+	0	NA	intron (NM_007798, intron 1 of 9)	intron (NM_007798, intron 1 of 9)	900	NM_007798	13030	Mm.236553	NM_007798	ENSMUSG00000021939	Ctsb	CB	cathepsin B	protein-coding
Peak9406	chr7	11934063	11935389	+	0	NA	TTS (NM_001243968)	TTS (NM_001243968)	230	NM_026885	68953	Mm.295670	NM_026885	ENSMUSG00000033916	Chmp2a	1500016L11Rik	charged multivesicular body protein 2A	protein-coding
Peak1162	chr10	116551637	116554583	+	0	NA	promoter-TSS (NM_177798)	promoter-TSS (NM_177798)	-526	NM_177798	327826	Mm.135965	NM_177798	ENSMUSG00000020170	Frs2	4732458E18|C330018A15Rik|Frs2alpha|SNT1	fibroblast growth factor receptor substrate 2	protein-coding
Peak6457	chr2	152105016	152106751	+	0	NA	exon (NM_175126, exon 1 of 1)	exon (NM_175126, exon 1 of 1)	602	NM_175126	67917	Mm.391810	NM_175126	ENSMUSG00000074682	Zcchc3	2810406K24Rik	zinc finger, CCHC domain containing 3	protein-coding
Peak6673	chr3	5254742	5255465	+	0	NA	intron (NM_030708, intron 3 of 10)	intron (NM_030708, intron 3 of 10)	-51207	NR_045905	72608	Mm.384359	NR_045905		2700069I18Rik	-	RIKEN cDNA 2700069I18 gene	ncRNA
Peak3955	chr15	98761449	98763072	+	0	NA	intron (NM_011654, intron 1 of 3)	CpG	164	NM_011654	22143	Mm.392113	NM_011654	ENSMUSG00000023004	Tuba1b	Tuba2	tubulin, alpha 1B	protein-coding
Peak7518	chr4	98522273	98526132	+	0	NA	exon (NM_013913, exon 2 of 7)	exon (NM_013913, exon 2 of 7)	1230	NM_013913	30924	Mm.28341	NM_013913	ENSMUSG00000028553	Angptl3	hypl	angiopoietin-like 3	protein-coding
Peak7689	chr4	124586834	124588190	+	0	NA	promoter-TSS (NM_027310)	promoter-TSS (NM_027310)	74	NM_001290701	70088	Mm.291214	NM_027310	ENSMUSG00000028863	Meaf6	2310005N01Rik|2810036M01Rik	MYST/Esa1-associated factor 6	protein-coding
Peak6045	chr2	61393729	61395169	+	0	NA	intron (NM_001164072, intron 1 of 7)	intron (NM_001164072, intron 1 of 7)	513	NM_001164071	21353	Mm.244393	NM_011529	ENSMUSG00000064289	Tank	C86182|E430026L09Rik|I-TRAF	TRAF family member-associated Nf-kappa B activator	protein-coding
Peak2525	chr12	86262723	86264999	+	0	NA	promoter-TSS (NM_026775)	promoter-TSS (NM_026775)	-41	NM_026775	68581	Mm.379159	NM_026775	ENSMUSG00000021248	Tmed10	1110014C03Rik|Tmp21|p23|p24delta1	transmembrane emp24-like trafficking protein 10 (yeast)	protein-coding
Peak3912	chr15	89303300	89306198	+	0	NA	intron (NM_009713, intron 1 of 8)	intron (NM_009713, intron 1 of 8)	442	NM_009713	11883	Mm.620	NM_009713	ENSMUSG00000022620	Arsa	AS-A|ASA|AW212749|As-2|As2|TISP73	arylsulfatase A	protein-coding
Peak2441	chr12	74030567	74032375	+	0	NA	exon (NM_011382, exon 1 of 3)	exon (NM_011382, exon 1 of 3)	612	NM_011382	20474	Mm.249575	NM_011382	ENSMUSG00000034460	Six4	AI047561|AREC3|TrexBF	sine oculis-related homeobox 4	protein-coding
Peak9632	chr7	37769754	37770375	+	0	NA	Intergenic	CpG	-41752	NM_011274	19777	Mm.387220	NM_011274	ENSMUSG00000030421	Uri1	C80913|NNX3|Rmp	URI1, prefoldin-like chaperone	protein-coding
Peak2292	chr12	17569634	17571567	+	0	NA	5' UTR (NM_013614, exon 1 of 12)	5' UTR (NM_013614, exon 1 of 12)	247	NM_013614	18263	Mm.34102	NM_013614	ENSMUSG00000011179	Odc1	ODC	ornithine decarboxylase, structural 1	protein-coding
Peak2369	chr12	53524509	53527153	+	0	NA	Intergenic	Intergenic	-1889	NR_045910	73278	Mm.396209	NR_045910	ENSMUSG00000100315	1700031P21Rik	-	RIKEN cDNA 1700031P21 gene	ncRNA
Peak9823	chr7	80773972	80775531	+	0	NA	promoter-TSS (NM_028026)	promoter-TSS (NM_028026)	31	NM_028026	71968	Mm.274226	NM_028026	ENSMUSG00000025722	Wdr73	1200011I23Rik|2410008B13Rik|AI848574|C85352	WD repeat domain 73	protein-coding
Peak1348	chr11	19823739	19826642	+	0	NA	intron (NM_033523, intron 1 of 5)	CpG	745	NM_033523	114716	Mm.266627	NM_033523	ENSMUSG00000045671	Spred2	C79158	sprouty-related, EVH1 domain containing 2	protein-coding
Peak9802	chr7	79808395	79809706	+	0	NA	promoter-TSS (NM_027420)	promoter-TSS (NM_027420)	-273	NM_027420	70420	Mm.34266	NM_027420	ENSMUSG00000039043	Arpin	2610034B18Rik	actin-related protein 2/3 complex inhibitor	protein-coding
Peak1859	chr11	87801737	87804159	+	0	NA	promoter-TSS (NM_001168472)	promoter-TSS (NM_001168472)	-168	NM_001168472	68097	Mm.246436	NM_026556	ENSMUSG00000020483	Dynll2	1700064A15Rik|6720463E02Rik|C87222|DLC8|DLC8b|Dlc2	dynein light chain LC8-type 2	protein-coding
Peak10216	chr8	4165663	4167050	+	0	NA	promoter-TSS (NM_001039578)	promoter-TSS (NM_001039578)	-211	NM_001039578	213027	Mm.437106	NM_153536	ENSMUSG00000011832	Evi5l	1700084G18Rik|2310039H16Rik|3110007G05Rik|B130050I23Rik	ecotropic viral integration site 5 like	protein-coding
Peak7926	chr4	147003291	147004598	+	0	NA	promoter-TSS (NM_001161852)	promoter-TSS (NM_001161852)	-50	NR_104374	230903	Mm.220327	NM_173401	ENSMUSG00000029001	Fbxo44	5730411K09|AV001623|FBG3|FBX30|Fbx6a|Fbxo6a	F-box protein 44	protein-coding
Peak9455	chr7	18616188	18617841	+	0	NA	promoter-TSS (NM_172279)	promoter-TSS (NM_172279)	2	NM_172279	232944	Mm.260504	NM_172279	ENSMUSG00000030397	Mark4	2410090P21Rik|C79806|Markl1	MAP/microtubule affinity regulating kinase 4	protein-coding
Peak8224	chr5	65386104	65387659	+	0	NA	Intergenic	CpG	-23485	NM_175174	71778	Mm.10281	NM_175174	ENSMUSG00000054920	Klhl5	1300013C10Rik	kelch-like 5	protein-coding
Peak2519	chr12	86107959	86109431	+	0	NA	exon (NM_145445, exon 1 of 8)	exon (NM_145445, exon 1 of 8)	111	NM_145445	217715	Mm.29041	NM_145445	ENSMUSG00000004788	Eif2b2	EIF-2Bbeta|EIF2B	eukaryotic translation initiation factor 2B, subunit 2 beta	protein-coding
Peak8491	chr5	122418385	122420498	+	0	NA	intron (NM_013636, intron 1 of 6)	intron (NM_013636, intron 1 of 6)	545	NM_013636	19047	Mm.280784	NM_013636	ENSMUSG00000004455	Ppp1cc	PP-1G|PP1|dis2m1	protein phosphatase 1, catalytic subunit, gamma isoform	protein-coding
Peak10314	chr8	32615118	32617418	+	0	NA	promoter-TSS (NM_144927)	promoter-TSS (NM_144927)	17	NR_103719	234138	Mm.349800	NM_144927	ENSMUSG00000031577	Tti2	-	TELO2 interacting protein 2	protein-coding
Peak3464	chr14	69353242	69354057	+	0	NA	promoter-TSS (NM_001252666)	promoter-TSS (NM_001252666)	0	NM_001252666	13829	Mm.210863	NM_013514	ENSMUSG00000022099	Dmtn	AI325486|Epb4.9|Epb49|dematin	dematin actin binding protein	protein-coding
Peak7043	chr3	103917869	103920958	+	0	NA	intron (NR_125731, intron 1 of 15)	intron (NR_125731, intron 1 of 15)	923	NM_001301306	15257	Mm.20827	NM_010432	ENSMUSG00000008730	Hipk1	1110062K04Rik|Myak	homeodomain interacting protein kinase 1	protein-coding
Peak8637	chr5	138008086	138009750	+	0	NA	exon (NM_027242, exon 1 of 4)	exon (NM_027242, exon 1 of 4)	212	NM_027242	69871	Mm.276058	NM_027242	ENSMUSG00000029725	Ppp1r35	2010007H12Rik|2010011D20Rik|AL024004	protein phosphatase 1, regulatory subunit 35	protein-coding
Peak520	chr1	172091615	172092663	+	0	NA	Intergenic	CpG	-21860	NM_012009	26904	Mm.57009	NM_012009		Sh2d1b1	EAT-2|EAT-2A|Eat2|Eat2a|Sh2d1b	SH2 domain containing 1B1	protein-coding
Peak9510	chr7	26886816	26889198	+	0	NA	promoter-TSS (NM_029391)	promoter-TSS (NM_029391)	-364	NM_029391	19342	Mm.482114	NM_029391	ENSMUSG00000053291	Rab4b	1500031G17Rik	RAB4B, member RAS oncogene family	protein-coding
Peak4877	chr17	55712970	55714161	+	0	NA	exon (NM_029796, exon 2 of 2)	exon (NM_029796, exon 2 of 2)	1674	NM_029796	76905	Mm.348025	NM_029796	ENSMUSG00000037095	Lrg1	1300008B03Rik|2310031E04Rik|Lrg|Lrhg	leucine-rich alpha-2-glycoprotein 1	protein-coding
Peak2944	chr13	63440016	63441473	+	0	NA	5' UTR (NM_007985, exon 1 of 15)	5' UTR (NM_007985, exon 1 of 15)	223	NM_007985	14088	Mm.126106	NM_007985	ENSMUSG00000021461	Fancc	Facc|mir-3074-1	Fanconi anemia, complementation group C	protein-coding
