PeakID (cmd=annotatePeaks.pl .Homer.txt hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
3548	chr13	45693772	45696594	+	0	NA	intron (NM_004128, intron 1 of 7)	intron (NM_004128, intron 1 of 7)	552	NM_004128	2963	Hs.654582	NM_004128	ENSG00000188342	GTF2F2	BTF4|RAP30|TF2F2|TFIIF	general transcription factor IIF subunit 2	protein-coding
3549	chr13	45913603	45916878	+	0	NA	promoter-TSS (NR_024458)	promoter-TSS (NR_024458)	179	NM_003295	7178	Hs.374596	NM_003295	ENSG00000133112	TPT1	HRF|TCTP|p02|p23	tumor protein, translationally-controlled 1	protein-coding
3550	chr13	45990749	45993196	+	0	NA	promoter-TSS (NR_047031)	promoter-TSS (NR_047031)	-325	NR_047031	100874259	Hs.658038	NR_047031	ENSG00000251015	SLC25A30-AS1	-	SLC25A30 antisense RNA 1	ncRNA
3551	chr13	46038240	46040533	+	0	NA	intron (NM_031431, intron 1 of 22)	CpG	356	NM_031431	83548	Hs.507948	NM_031431	ENSG00000136152	COG3	SEC34	component of oligomeric golgi complex 3	protein-coding
3552	chr13	46625228	46627847	+	0	NA	promoter-TSS (NR_046227)	promoter-TSS (NR_046227)	359	NM_015070	23091	Hs.136102	NM_015070	ENSG00000123200	ZC3H13	KIAA0853	zinc finger CCCH-type containing 13	protein-coding
3553	chr13	46961041	46962142	+	0	NA	promoter-TSS (NM_001286762)	promoter-TSS (NM_001286762)	44	NM_001286762	80183	Hs.98117	NM_025113	ENSG00000102445	KIAA0226L	C13orf18	KIAA0226-like	protein-coding
3554	chr13	47126427	47129567	+	0	NA	intron (NM_001164211, intron 1 of 19)	CpG	701	NM_015116	23143	Hs.507971	NM_015116	ENSG00000136141	LRCH1	CHDC1|NP81	leucine-rich repeats and calponin homology (CH) domain containing 1	protein-coding
3555	chr13	47369988	47371891	+	0	NA	intron (NM_001984, intron 1 of 9)	CpG	428	NM_001984	2098	Hs.432491	NM_001984	ENSG00000139684	ESD	FGH	esterase D	protein-coding
3556	chr13	48573578	48575897	+	0	NA	intron (NM_003850, intron 1 of 10)	intron (NM_003850, intron 1 of 10)	725	NM_003850	8803	Hs.743361	NM_003850	ENSG00000136143	SUCLA2	A-BETA|MTDPS5|SCS-betaA	succinate-CoA ligase, ADP-forming, beta subunit	protein-coding
3557	chr13	48610822	48613245	+	0	NA	exon (NM_018283, exon 1 of 3)	exon (NM_018283, exon 1 of 3)	330	NM_001304745	55270	Hs.144407	NM_018283	ENSG00000136159	NUDT15	MTH2	nudix hydrolase 15	protein-coding
3558	chr13	48667652	48669571	+	0	NA	intron (NM_001270629, intron 1 of 6)	L2c|LINE|L2	666	NM_014166	29079	Hs.181112	NM_014166	ENSG00000136146	MED4	ARC36|DRIP36|HSPC126|TRAP36|VDRIP	mediator complex subunit 4	protein-coding
3559	chr13	48806697	48808682	+	0	NA	intron (NM_021999, intron 1 of 5)	CpG	415	NM_021999	9445	Hs.643683	NM_021999		ITM2B	ABRI|BRI|BRI2|BRICD2B|E25B|E3-16|FBD|RDGCA|imBRI2	integral membrane protein 2B	protein-coding
3560	chr13	48876763	48879385	+	0	NA	promoter-TSS (NR_046414)	promoter-TSS (NR_046414)	191	NM_000321	5925	Hs.408528	NM_000321	ENSG00000139687	RB1	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	retinoblastoma 1	protein-coding
3561	chr13	49106388	49107653	+	0	NA	intron (NM_001286830, intron 1 of 13)	CpG	372	NM_001268	1102	Hs.652712	NM_001268	ENSG00000136161	RCBTB2	CHC1L|RLG	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2	protein-coding
3562	chr13	49549304	49551922	+	0	NA	promoter-TSS (NM_001278438)	promoter-TSS (NM_001278438)	-132	NM_001278438	22862	Hs.508010	NM_014923	ENSG00000102531	FNDC3A	FNDC3|HUGO|bA203I16.1|bA203I16.5	fibronectin type III domain containing 3A	protein-coding
3563	chr13	49684151	49685722	+	0	NA	intron (NM_014923, intron 1 of 23)	intron (NM_014923, intron 1 of 23)	497	NM_014923	22862	Hs.508010	NM_014923	ENSG00000102531	FNDC3A	FNDC3|HUGO|bA203I16.1|bA203I16.5	fibronectin type III domain containing 3A	protein-coding
3564	chr13	49821308	49823415	+	0	NA	intron (NM_030911, intron 1 of 9)	CpG	314	NM_030911	81602	Hs.388220	NM_030911	ENSG00000102543	CDADC1	NYD-SP15|bA103J18.1	cytidine and dCMP deaminase domain containing 1	protein-coding
3565	chr13	50017203	50021376	+	0	NA	intron (NM_031915, intron 1 of 14)	MIR|SINE|MIR	860	NM_031915	83852	Hs.631789	NM_031915	ENSG00000136169	SETDB2	C13orf4|CLLD8|CLLL8|KMT1F	SET domain, bifurcated 2	protein-coding
3566	chr13	50068398	50070769	+	0	NA	promoter-TSS (NM_001040444)	promoter-TSS (NM_001040444)	-218	NM_001040443	51131	Hs.369039	NM_016119	ENSG00000136147	PHF11	APY|BCAP|IGEL|IGER|IGHER|NY-REN-34|NYREN34	PHD finger protein 11	protein-coding
3567	chr13	50158621	50160580	+	0	NA	5' UTR (NM_018191, exon 1 of 13)	5' UTR (NM_018191, exon 1 of 13)	119	NM_018191	55213	Hs.508021	NM_018191	ENSG00000136144	RCBTB1	CLLD7|CLLL7|GLP	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 1	protein-coding
3568	chr13	50264232	50266255	+	0	NA	intron (NR_103802, intron 1 of 4)	CpG	380	NR_103803	84650	Hs.433278	NM_032565	ENSG00000123179	EBPL	EBRP	emopamil binding protein-like	protein-coding
3569	chr13	50365186	50368106	+	0	NA	5' UTR (NM_002267, exon 1 of 17)	5' UTR (NM_002267, exon 1 of 17)	411	NM_002267	3839	Hs.527919	NM_002267	ENSG00000102753	KPNA3	IPOA4|SRP1|SRP1gamma|SRP4|hSRP1	karyopherin alpha 3 (importin alpha 4)	protein-coding
3570	chr13	50422003	50422516	+	0	NA	Intergenic	CpG	-42286	NR_003268	220429	Hs.448219	NR_003268	ENSG00000181358	CTAGE10P	-	CTAGE family, member 10, pseudogene	pseudo
3571	chr13	50509250	50511617	+	0	NA	non-coding (NR_023351, exon 1 of 3)	non-coding (NR_023351, exon 1 of 3)	204	NR_023351	57213	Hs.44235	NM_020456	ENSG00000123178	SPRYD7	C13orf1|CLLD6	SPRY domain containing 7	protein-coding
3572	chr13	50570323	50572747	+	0	NA	promoter-TSS (NR_037407)	promoter-TSS (NR_037407)	392	NM_052811	10206	Hs.436922	NM_005798	ENSG00000204977	TRIM13	CAR|DLEU5|LEU5|RFP2|RNF77	tripartite motif containing 13	protein-coding
3573	chr13	50653833	50657828	+	0	NA	promoter-TSS (NR_109974)	promoter-TSS (NR_109974)	-475	NR_002605	10301	Hs.591229	NM_005887	ENSG00000176124	DLEU1	BCMS|BCMS1|DLB1|DLEU2|LEU1|LEU2|LINC00021|NCRNA00021|XTP6	deleted in lymphocytic leukemia 1 (non-protein coding)	ncRNA
3574	chr13	50697333	50700977	+	0	NA	intron (NR_109974, intron 2 of 6)	CpG	522	NR_002612	8847	Hs.547964	NR_002612	ENSG00000231607	DLEU2	1B4|BCMSUN|DLB2|LEU2|LINC00022|MIR15AHG|NCRNA00022|RFP2OS|TRIM13OS	deleted in lymphocytic leukemia 2 (non-protein coding)	ncRNA
3575	chr13	50759962	50761056	+	0	NA	intron (NR_109974, intron 2 of 6)	intron (NR_109974, intron 2 of 6)	14355	NR_002183	145165	Hs.511834	NM_153290		ST13P4	FAM10A4|FAM10A4P	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 4	pseudo
3576	chr13	51483190	51485778	+	0	NA	intron (NM_024570, intron 1 of 10)	CpG	364	NR_046552	100874255	Hs.741501	NR_046552		RNASEH2B-AS1	-	RNASEH2B antisense RNA 1	ncRNA
3577	chr13	51654176	51655375	+	0	NA	Intergenic	L1PA6|LINE|L1	-14482	NR_003923	2974	Hs.411573	NM_004129	ENSG00000123201	GUCY1B2	GC-SB2	guanylate cyclase 1, soluble, beta 2 (pseudogene)	pseudo
3578	chr13	51795892	51797620	+	0	NA	intron (NM_001242312, intron 1 of 3)	CpG	286	NM_145019	220108	Hs.71913	NM_145019	ENSG00000150510	FAM124A	-	family with sequence similarity 124 member A	protein-coding
3579	chr13	52025162	52028552	+	0	NA	promoter-TSS (NR_103812)	promoter-TSS (NR_103812)	418	NM_012141	26512	Hs.439440	NM_012141	ENSG00000102786	INTS6	DBI-1|DDX26|DDX26A|DICE1|HDB|INT6|Notchl2	integrator complex subunit 6	protein-coding
3580	chr13	52157587	52160121	+	0	NA	exon (NM_052950, exon 1 of 12)	exon (NM_052950, exon 1 of 12)	370	NM_052950	115825	Hs.46506	NM_052950		WDFY2	PROF|WDF2|ZFYVE22	WD repeat and FYVE domain containing 2	protein-coding
3581	chr13	52377593	52379090	+	0	NA	promoter-TSS (NM_001270424)	promoter-TSS (NM_001270424)	-43	NM_024705	79758	Hs.266728	NM_024705	ENSG00000102796	DHRS12	SDR40C1	dehydrogenase/reductase (SDR family) member 12	protein-coding
3582	chr13	52419474	52419691	+	0	NA	promoter-TSS (NR_027048)	promoter-TSS (NR_027048)	-296	NR_027047	283521	Hs.649896	NM_178515	ENSG00000281106	LINC00282	NCRNA00282	long intergenic non-protein coding RNA 282	ncRNA
3583	chr13	52585227	52587633	+	0	NA	promoter-TSS (NM_000053)	promoter-TSS (NM_000053)	-93	NR_036571	440138	Hs.512963	NM_001004127	ENSG00000253710	ALG11	CDG1P|GT8	ALG11, alpha-1,2-mannosyltransferase	protein-coding
3584	chr13	52702151	52703610	+	0	NA	promoter-TSS (NR_110306)	promoter-TSS (NR_110306)	-151	NR_110306	101929657	Hs.637461	NR_110306	ENSG00000273523	LOC101929657	-	uncharacterized LOC101929657	ncRNA
3585	chr13	52732862	52733996	+	0	NA	5' UTR (NM_152720, exon 1 of 16)	5' UTR (NM_152720, exon 1 of 16)	241	NM_152720	4752	Hs.409989	NM_002498	ENSG00000136098	NEK3	HSPK36	NIMA-related kinase 3	protein-coding
3586	chr13	52767015	52769592	+	0	NA	non-coding (NR_002816, exon 1 of 9)	non-coding (NR_002816, exon 1 of 9)	299	NR_051965	100887750	Hs.553878	NR_002816	ENSG00000243406	MRPS31P5	MRPS31P3	mitochondrial ribosomal protein S31 pseudogene 5	pseudo
3587	chr13	53023317	53025225	+	0	NA	5' UTR (NM_001282169, exon 1 of 14)	5' UTR (NM_001282169, exon 1 of 14)	108	NM_001282169	51028	Hs.109520	NM_016075	ENSG00000136100	VPS36	C13orf9|CGI-145|EAP45	vacuolar protein sorting 36 homolog (S. cerevisiae)	protein-coding
3588	chr13	53028452	53030822	+	0	NA	promoter-TSS (NM_001286686)	promoter-TSS (NM_001286686)	142	NM_001286687	26586	Hs.444028	NM_018204	ENSG00000136108	CKAP2	LB1|TMAP|se20-10	cytoskeleton associated protein 2	protein-coding
3589	chr13	53190599	53192839	+	0	NA	5' UTR (NM_001011725, exon 1 of 6)	5' UTR (NM_001011725, exon 1 of 6)	114	NM_001011725	144983	Hs.447506	NM_001011724		HNRNPA1L2	-	heterogeneous nuclear ribonucleoprotein A1-like 2	protein-coding
3590	chr13	53224875	53228662	+	0	NA	promoter-TSS (NM_006704)	promoter-TSS (NM_006704)	-63	NM_001130912	10910	Hs.281902	NM_006704		SUGT1	SGT1	SGT1 homolog, MIS12 kinetochore complex assembly cochaperone	protein-coding
3591	chr13	60736630	60739417	+	0	NA	promoter-TSS (NM_001258366)	promoter-TSS (NM_001258366)	96	NM_001258366	81624	Hs.283127	NM_030932	ENSG00000139734	DIAPH3	AN|AUNA1|DIA2|DRF3|NSDAN|diap3|mDia2	diaphanous-related formin 3	protein-coding
3592	chr13	60969613	60972959	+	0	NA	promoter-TSS (NM_001146070)	promoter-TSS (NM_001146070)	-141	NM_001146070	81550	Hs.525061	NM_030794	ENSG00000083544	TDRD3	-	tudor domain containing 3	protein-coding
3593	chr13	73300285	73303373	+	0	NA	promoter-TSS (NM_001286746)	promoter-TSS (NM_001286746)	-58	NM_024808	79866	Hs.643464	NM_024808	ENSG00000136122	BORA	C13orf34	bora, aurora kinase A activator	protein-coding
3594	chr13	73354597	73357471	+	0	NA	promoter-TSS (NM_006346)	promoter-TSS (NM_006346)	-196	NM_006346	10464	Hs.441926	NM_006346	ENSG00000083535	PIBF1	C13orf24|CEP90|PIBF	progesterone immunomodulatory binding factor 1	protein-coding
3595	chr13	73629918	73635585	+	0	NA	promoter-TSS (NM_001730)	promoter-TSS (NM_001730)	-179	NM_001730	688	Hs.508234	NM_001730	ENSG00000102554	KLF5	BTEB2|CKLF|IKLF	Kruppel-like factor 5 (intestinal)	protein-coding
3596	chr13	74707401	74710833	+	0	NA	Intergenic	CpG	-1051	NM_007249	11278	Hs.373857	NM_007249	ENSG00000118922	KLF12	AP-2rep|AP2REP|HSPC122	Kruppel-like factor 12	protein-coding
3597	chr13	76054184	76057268	+	0	NA	exon (NM_014832, exon 1 of 21)	exon (NM_014832, exon 1 of 21)	578	NM_014832	9882	Hs.210891	NM_014832	ENSG00000136111	TBC1D4	AS160|NIDDM5	TBC1 domain family, member 4	protein-coding
3598	chr13	76110557	76112559	+	0	NA	intron (NM_001287394, intron 1 of 2)	intron (NM_001287394, intron 1 of 2)	450	NM_001287392	170622	Hs.508266	NM_203495	ENSG00000188243	COMMD6	Acrg	COMM domain containing 6	protein-coding
3599	chr13	76123010	76125510	+	0	NA	promoter-TSS (NM_001287394)	promoter-TSS (NM_001287394)	374	NM_006002	7347	Hs.162241	NM_006002	ENSG00000118939	UCHL3	UCH-L3	ubiquitin C-terminal hydrolase L3	protein-coding
3600	chr13	76209690	76211287	+	0	NA	promoter-TSS (NR_120412)	promoter-TSS (NR_120412)	64	NM_001306080	4008	Hs.207631	NM_005358	ENSG00000136153	LMO7	FBX20|FBXO20|LOMP	LIM domain 7	protein-coding
3601	chr13	77459598	77461232	+	0	NA	5' UTR (NM_138444, exon 1 of 1)	5' UTR (NM_138444, exon 1 of 1)	125	NM_138444	115207	Hs.644125	NM_138444	ENSG00000178695	KCTD12	C13orf2|PFET1|PFETIN	potassium channel tetramerization domain containing 12	protein-coding
3602	chr13	77565638	77567502	+	0	NA	intron (NM_006493, intron 1 of 3)	CpG	511	NM_006493	1203	Hs.30213	NM_006493		CLN5	NCL	ceroid-lipofuscinosis, neuronal 5	protein-coding
3603	chr13	77599771	77602072	+	0	NA	intron (NM_012158, intron 1 of 4)	CpG	410	NM_012158	26224	Hs.508284	NM_012158	ENSG00000005812	FBXL3	FBL3|FBL3A|FBXL3A	F-box and leucine-rich repeat protein 3	protein-coding
3604	chr13	77899606	77901987	+	0	NA	exon (NM_015057, exon 1 of 83)	exon (NM_015057, exon 1 of 83)	381	NM_015057	23077	Hs.591221	NM_015057	ENSG00000005810	MYCBP2	PAM	MYC binding protein 2, E3 ubiquitin protein ligase	protein-coding
3605	chr13	77902876	77904838	+	0	NA	Intergenic	CpG	-2680	NM_015057	23077	Hs.591221	NM_015057	ENSG00000005810	MYCBP2	PAM	MYC binding protein 2, E3 ubiquitin protein ligase	protein-coding
3606	chr13	79231617	79233944	+	0	NA	intron (NM_024546, intron 1 of 5)	intron (NM_024546, intron 1 of 5)	534	NM_024546	79596	Hs.567576	NM_024546	ENSG00000152193	RNF219	C13orf7	ring finger protein 219	protein-coding
3607	chr13	79978154	79981627	+	0	NA	promoter-TSS (NR_038991)	promoter-TSS (NR_038991)	466	NM_001286632	64062	Hs.558528	NM_018605	ENSG00000139746	RBM26	ARRS2|C13orf10|PPP1R132|PRO1777|SE70-2|ZC3H17	RNA binding motif protein 26	protein-coding
3608	chr13	80054681	80056738	+	0	NA	promoter-TSS (NR_046685)	promoter-TSS (NR_046685)	-343	NR_046685	100874208	Hs.602801	NR_046685	ENSG00000232132	NDFIP2-AS1	-	NDFIP2 antisense RNA 1	ncRNA
3609	chr13	80912673	80917487	+	0	NA	promoter-TSS (NM_005842)	promoter-TSS (NM_005842)	6	NM_005842	10253	Hs.18676	NM_005842	ENSG00000136158	SPRY2	hSPRY2	sprouty RTK signaling antagonist 2	protein-coding
3610	chr13	91999209	92002592	+	0	NA	intron (NR_027349, intron 1 of 3)	CpG	826	NR_027349	407975	Hs.24115	NR_027349	ENSG00000215417	MIR17HG	C13orf25|FGLDS2|LINC00048|MIHG1|MIRH1|MIRHG1|NCRNA00048|miR-17-92	miR-17-92 cluster host gene	ncRNA
3611	chr13	95200642	95202360	+	0	NA	Intergenic	Intergenic	47028	NR_130732	23483	Hs.12393	NM_014305	ENSG00000088451	TGDS	CATMANS|SDR2E1|TDPGD	TDP-glucose 4,6-dehydratase	protein-coding
3612	chr13	95246986	95249297	+	0	NA	intron (NR_130732, intron 1 of 10)	intron (NR_130732, intron 1 of 10)	388	NR_130732	23483	Hs.12393	NM_014305	ENSG00000088451	TGDS	CATMANS|SDR2E1|TDPGD	TDP-glucose 4,6-dehydratase	protein-coding
3613	chr13	95253663	95255706	+	0	NA	intron (NM_180989, intron 1 of 8)	intron (NM_180989, intron 1 of 8)	580	NM_180989	160897	Hs.439363	NM_180989	ENSG00000152749	GPR180	ITR	G protein-coupled receptor 180	protein-coding
3614	chr13	95952023	95954477	+	0	NA	intron (NM_001301829, intron 1 of 29)	intron (NM_001301829, intron 1 of 29)	450	NM_001105515	10257	Hs.508423	NM_005845	ENSG00000125257	ABCC4	MOAT-B|MOATB|MRP4	ATP binding cassette subfamily C member 4	protein-coding
3615	chr13	96130944	96131315	+	0	NA	TTS (NR_046533)	TTS (NR_046533)	45276	NM_001160100	9071	Hs.534377	NM_006984	ENSG00000134873	CLDN10	CPETRL3|OSP-L	claudin 10	protein-coding
3616	chr13	96327922	96330784	+	0	NA	promoter-TSS (NM_006260)	promoter-TSS (NM_006260)	-40	NM_006260	5611	Hs.59214	NM_006260	ENSG00000102580	DNAJC3	ACPHD|ERdj6|HP58|P58|P58IPK|PRKRI	DnaJ (Hsp40) homolog, subfamily C, member 3	protein-coding
3617	chr13	96704257	96706855	+	0	NA	exon (NM_020121, exon 1 of 39)	exon (NM_020121, exon 1 of 39)	180	NM_020121	55757	Hs.193226	NM_020121	ENSG00000102595	UGGT2	HUGT2|UGCGL2|UGT2	UDP-glucose glycoprotein glucosyltransferase 2	protein-coding
3618	chr13	96741932	96743183	+	0	NA	promoter-TSS (NM_153456)	promoter-TSS (NM_153456)	-536	NM_153456	266722	Hs.171001	NM_153456	ENSG00000185352	HS6ST3	HS6ST-3	heparan sulfate 6-O-sulfotransferase 3	protein-coding
3619	chr13	97793797	97795806	+	0	NA	Intergenic	Intergenic	37075	NR_125725	103625683	Hs.679591	NR_125725	ENSG00000233124	LINC00456	-	long intergenic non-protein coding RNA 456	ncRNA
3620	chr13	97874181	97876781	+	0	NA	intron (NM_207304, intron 1 of 6)	intron (NM_207304, intron 1 of 6)	931	NM_144778	10150	Hs.657347	NM_144778	ENSG00000139793	MBNL2	MBLL|MBLL39|PRO2032	muscleblind-like splicing regulator 2	protein-coding
3621	chr13	98084585	98087591	+	0	NA	promoter-TSS (NM_021033)	promoter-TSS (NM_021033)	-387	NM_021033	5911	Hs.508480	NM_021033		RAP2A	K-REV|KREV|RAP2|RbBP-30	RAP2A, member of RAS oncogene family	protein-coding
3622	chr13	98627604	98630727	+	0	NA	intron (NM_002271, intron 4 of 28)	CpG-6548	23236	NM_002271	3843	Hs.712598	NM_002271	ENSG00000065150	IPO5	IMB3|KPNB3|Pse1|RANBP5|imp5	importin 5	protein-coding
3623	chr13	98794553	98797571	+	0	NA	intron (NM_001001715, intron 1 of 2)	CpG	710	NM_001001715	10160	Hs.403917	NM_005766	ENSG00000152767	FARP1	CDEP|FARP1-IT1|PLEKHC2|PPP1R75	FERM, ARH/RhoGEF and pleckstrin domain protein 1	protein-coding
3624	chr13	99226942	99230411	+	0	NA	intron (NM_001286649, intron 1 of 9)	CpG	729	NM_001032296	8428	Hs.508514	NM_003576	ENSG00000102572	STK24	HEL-S-95|MST3|MST3B|STE20|STK3	serine/threonine kinase 24	protein-coding
3625	chr13	99404116	99405253	+	0	NA	intron (NM_005073, intron 1 of 22)	CpG	245	NM_005073	6564	Hs.436893	NM_005073	ENSG00000088386	SLC15A1	HPECT1|HPEPT1|PEPT1	solute carrier family 15 (oligopeptide transporter), member 1	protein-coding
3626	chr13	99737464	99740783	+	0	NA	promoter-TSS (NM_001130049)	promoter-TSS (NM_001130049)	146	NR_047482	100861541	Hs.344872	NR_047482		DOCK9-AS2	-	DOCK9 antisense RNA 2 (head to head)	ncRNA
3627	chr13	99851376	99854968	+	0	NA	promoter-TSS (NM_177967)	promoter-TSS (NM_177967)	9	NM_177967	337867	Hs.508545	NM_177967	ENSG00000134882	UBAC2	PHGDHL1	UBA domain containing 2	protein-coding
3628	chr13	100150393	100152181	+	0	NA	non-coding (NR_110731, exon 1 of 5)	non-coding (NR_110731, exon 1 of 5)	273	NR_110731	102725509	Hs.648968	NR_110731	ENSG00000280734	LINC01232	TCONS_00021520	long intergenic non-protein coding RNA 1232	ncRNA
3629	chr13	100152714	100155400	+	0	NA	intron (NM_004800, intron 1 of 16)	CpG	429	NM_004800	9375	Hs.607896	NM_004800	ENSG00000125304	TM9SF2	P76	transmembrane 9 superfamily member 2	protein-coding
3630	chr13	100258154	100259909	+	0	NA	intron (NR_104592, intron 1 of 9)	CpG	113	NM_206808	171425	Hs.655642	NM_206808	ENSG00000125246	CLYBL	CLB	citrate lyase beta like	protein-coding
3631	chr13	100619939	100624261	+	0	NA	intron (NM_033132, intron 1 of 1)	CpG	2078	NM_033132	85416	Hs.508570	NM_033132	ENSG00000139800	ZIC5	-	Zic family member 5	protein-coding
3632	chr13	100631720	100636441	+	0	NA	promoter-TSS (NM_007129)	promoter-TSS (NM_007129)	54	NM_007129	7546	Hs.653700	NM_007129	ENSG00000043355	ZIC2	HPE5	Zic family member 2	protein-coding
3633	chr13	100740194	100742581	+	0	NA	promoter-TSS (NR_132422)	promoter-TSS (NR_132422)	118	NM_001127692	5095	Hs.80741	NM_000282	ENSG00000175198	PCCA	-	propionyl-CoA carboxylase alpha subunit	protein-coding
3634	chr13	101239852	101241366	+	0	NA	intron (NM_001195087, intron 1 of 2)	intron (NM_001195087, intron 1 of 2)	437	NM_001195087	87769	Hs.350868	NM_033110	ENSG00000134864	GGACT	A2LD1	gamma-glutamylamine cyclotransferase	protein-coding
3635	chr13	101325650	101328061	+	0	NA	intron (NM_032813, intron 1 of 18)	CpG	334	NM_001079669	84899	Hs.190983	NM_032813	ENSG00000125247	TMTC4	-	transmembrane and tetratricopeptide repeat containing 4	protein-coding
3636	chr13	103244324	103245129	+	0	NA	Intergenic	LTR16B2|LTR|ERVL	-4560	NM_003291	7174	Hs.432424	NM_003291	ENSG00000134900	TPP2	TPP-2|TPPII	tripeptidyl peptidase II	protein-coding
3637	chr13	103247749	103250944	+	0	NA	promoter-TSS (NM_003291)	promoter-TSS (NM_003291)	60	NM_003291	7174	Hs.432424	NM_003291	ENSG00000134900	TPP2	TPP-2|TPPII	tripeptidyl peptidase II	protein-coding
3638	chr13	103424752	103426616	+	0	NA	intron (NM_138779, intron 1 of 5)	CpG	487	NM_001286776	93081	Hs.398111	NM_138779	ENSG00000151287	TEX30	C13orf27	testis expressed 30	protein-coding
3639	chr13	103450322	103453745	+	0	NA	promoter-TSS (NM_024089)	promoter-TSS (NM_024089)	-629	NM_024089	79070	Hs.408629	NM_024089	ENSG00000134901	KDELC1	EP58|KDEL1	KDEL (Lys-Asp-Glu-Leu) containing 1	protein-coding
3640	chr13	103497187	103500422	+	0	NA	intron (NM_000123, intron 1 of 14)	intron (NM_000123, intron 1 of 14)	613	NM_000123	2073	Hs.258429	NM_000123	ENSG00000134899	ERCC5	COFS3|ERCC5-201|ERCM2|UVDR|XPG|XPGC	excision repair cross-complementation group 5	protein-coding
3641	chr13	105791616	105792797	+	0	NA	Intergenic	Intergenic	-326010	NM_001161814	267012	Hs.381382	NM_172370	ENSG00000182346	DAOA	LG72|SG72	D-amino acid oxidase activator	protein-coding
3642	chr13	106865120	106866427	+	0	NA	Intergenic	Intergenic	-163138	NR_034119	728192	Hs.559194	NR_034119		LINC00460	-	long intergenic non-protein coding RNA 460	ncRNA
3643	chr13	107000653	107002195	+	0	NA	Intergenic	Intergenic	-27487	NR_034119	728192	Hs.559194	NR_034119		LINC00460	-	long intergenic non-protein coding RNA 460	ncRNA
3644	chr13	107184980	107189000	+	0	NA	intron (NM_004093, intron 1 of 4)	CpG	398	NM_004093	1948	Hs.149239	NM_004093	ENSG00000125266	EFNB2	EPLG5|HTKL|Htk-L|LERK5	ephrin-B2	protein-coding
3645	chr13	107218571	107221234	+	0	NA	intron (NM_018011, intron 1 of 3)	C-rich|Low_complexity|Low_complexity	612	NM_018011	55082	Hs.508644	NM_018011		ARGLU1	-	arginine and glutamate rich 1	protein-coding
3646	chr13	107570027	107570851	+	0	NA	Intergenic	CpG	264211	NR_047026	100874173	Hs.569297	NR_047026	ENSG00000230156	LINC00443	-	long intergenic non-protein coding RNA 443	ncRNA
3647	chr13	108867411	108868377	+	0	NA	promoter-TSS (NM_002312)	promoter-TSS (NM_002312)	-12	NM_206937	3981	Hs.166091	NM_002312	ENSG00000174405	LIG4	LIG4S	ligase IV, DNA, ATP-dependent	protein-coding
3648	chr13	108869323	108872299	+	0	NA	promoter-TSS (NM_001098268)	promoter-TSS (NM_001098268)	48	NM_032859	84945	Hs.183528	NM_032859	ENSG00000139826	ABHD13	BEM46L1|C13orf6|bA153I24.2	abhydrolase domain containing 13	protein-coding
3649	chr13	109917133	109922070	+	0	NA	Intergenic	HERVH-int|LTR|ERV1	-99950	NR_047700	100885782	Hs.655942	NR_047700	ENSG00000236242	MYO16-AS1	-	MYO16 antisense RNA 1	ncRNA
3650	chr13	110436657	110440368	+	0	NA	5' UTR (NM_003749, exon 1 of 2)	5' UTR (NM_003749, exon 1 of 2)	402	NM_003749	8660	Hs.442344	NM_003749	ENSG00000185950	IRS2	IRS-2	insulin receptor substrate 2	protein-coding
3651	chr13	110790071	110791285	+	0	NA	Intergenic	CpG	85046	NR_126387	104355146	Hs.508690	NR_126387	ENSG00000231428	LINC00396	-	long intergenic non-protein coding RNA 396	ncRNA
3652	chr13	111212851	111215458	+	0	NA	promoter-TSS (NM_017817)	promoter-TSS (NM_017817)	-70	NM_017817	55647	Hs.743563	NM_017817	ENSG00000139832	RAB20	-	RAB20, member RAS oncogene family	protein-coding
3653	chr13	111267224	111269496	+	0	NA	intron (NM_018210, intron 1 of 9)	CpG	429	NM_018210	55739	Hs.408324	NM_018210	ENSG00000213995	CARKD	LP3298	carbohydrate kinase domain containing	protein-coding
3654	chr13	111357238	111359611	+	0	NA	exon (NM_024537, exon 1 of 15)	exon (NM_024537, exon 1 of 15)	103	NM_024537	79587	Hs.508725	NM_024537	ENSG00000134905	CARS2	cysRS	cysteinyl-tRNA synthetase 2, mitochondrial (putative)	protein-coding
3655	chr13	111363628	111369713	+	0	NA	promoter-TSS (NM_005537)	promoter-TSS (NM_005537)	-689	NM_005537	3621	Hs.46700	NM_005537	ENSG00000153487	ING1	p24ING1c|p33|p33ING1|p33ING1b|p47|p47ING1a	inhibitor of growth family member 1	protein-coding
3656	chr13	111521604	111523305	+	0	NA	non-coding (NR_027701, exon 1 of 1)	non-coding (NR_027701, exon 1 of 1)	201	NR_027701	283487	Hs.245390	NM_178514	ENSG00000255874	LINC00346	C13orf29|NCRNA00346	long intergenic non-protein coding RNA 346	ncRNA
